kind,owner,name,target,keys,delete,source
addForeignKey,candidate_certificate,fk-candidate_certificate-parent_company_id,company,'parent_company_id' -> 'company_id',unspecified,console/migrations/m240808_113636_certificate.php:246
addPrimaryKey,transfer_cost,pk-transfer_cost,,"['candidate_id', 'company_id']",constraint history; unique=unspecified,console/migrations/m240812_080436_transfer_rate.php:31
createIndex,transfer_cost,idx-transfer_cost-candidate_id,,'candidate_id',constraint history; unique=unspecified,console/migrations/m240812_080436_transfer_rate.php:35
addForeignKey,transfer_cost,fk-transfer_cost-candidate_id,candidate,'candidate_id' -> 'candidate_id',CASCADE,console/migrations/m240812_080436_transfer_rate.php:39
createIndex,transfer_cost,idx-transfer_cost-company_id,,'company_id',constraint history; unique=unspecified,console/migrations/m240812_080436_transfer_rate.php:46
addForeignKey,transfer_cost,fk-transfer_cost-company_id,company,'company_id' -> 'company_id',CASCADE,console/migrations/m240812_080436_transfer_rate.php:50
addPrimaryKey,chat,pk-chat,,"""chat_uuid""",constraint history; unique=unspecified,console/migrations/m240902_074003_chat.php:35
createIndex,chat,idx-chat-contact_uuid,,'contact_uuid',constraint history; unique=unspecified,console/migrations/m240902_074003_chat.php:39
addForeignKey,chat,fk-chat-contact_uuid,contact,'contact_uuid' -> 'contact_uuid',CASCADE,console/migrations/m240902_074003_chat.php:43
createIndex,chat,idx-chat-candidate_id,,'candidate_id',constraint history; unique=unspecified,console/migrations/m240902_074003_chat.php:50
addForeignKey,chat,fk-chat-candidate_id,candidate,'candidate_id' -> 'candidate_id',CASCADE,console/migrations/m240902_074003_chat.php:54
createIndex,chat,idx-chat-company_id,,'company_id',constraint history; unique=unspecified,console/migrations/m240902_074003_chat.php:61
addForeignKey,chat,fk-chat-company_id,company,'company_id' -> 'company_id',CASCADE,console/migrations/m240902_074003_chat.php:65
createIndex,chat,idx-chat-parent_company_id,,'parent_company_id',constraint history; unique=unspecified,console/migrations/m240902_074003_chat.php:72
addForeignKey,chat,fk-chat-parent_company_id,company,'parent_company_id' -> 'company_id',CASCADE,console/migrations/m240902_074003_chat.php:76
createIndex,chat,idx-chat-store_id,,'store_id',constraint history; unique=unspecified,console/migrations/m240902_074003_chat.php:83
addForeignKey,chat,fk-chat-store_id,store,'store_id' -> 'store_id',CASCADE,console/migrations/m240902_074003_chat.php:87
createIndex,chat,idx-chat-staff_id,,'staff_id',constraint history; unique=unspecified,console/migrations/m240902_074003_chat.php:94
addForeignKey,chat,fk-chat-staff_id,staff,'staff_id' -> 'staff_id',CASCADE,console/migrations/m240902_074003_chat.php:98
addPrimaryKey,chat_message,pk-chat_message,,"""chat_message_uuid""",constraint history; unique=unspecified,console/migrations/m240902_074003_chat.php:116
createIndex,chat_message,idx-chat_message-chat_uuid,,'chat_uuid',constraint history; unique=unspecified,console/migrations/m240902_074003_chat.php:120
addForeignKey,chat_message,fk-chat_message-chat_uuid,chat,'chat_uuid' -> 'chat_uuid',CASCADE,console/migrations/m240902_074003_chat.php:124
createIndex,transfer_file,idx-transfer_file-admin_id,,'admin_id',constraint history; unique=unspecified,console/migrations/m240925_160159_request.php:26
addForeignKey,transfer_file,fk-transfer_file-admin_id,admin,'admin_id' -> 'admin_id',unspecified,console/migrations/m240925_160159_request.php:33
addPrimaryKey,transfer_bank_advice,pk-transfer_bank_advice-tba_uuid,,"""tba_uuid""",constraint history; unique=unspecified,console/migrations/m241001_072924_advice.php:31
createIndex,transfer_bank_advice,idx-transfer_bank_advice-created_by,,'created_by',constraint history; unique=unspecified,console/migrations/m241001_072924_advice.php:34
addForeignKey,transfer_bank_advice,fk-transfer_bank_advice-admin_id,admin,'created_by' -> 'admin_id',unspecified,console/migrations/m241001_072924_advice.php:41
dropIndex,transfer_candidate,idx-transfer_candidate-transfer_confirmation_id,,,constraint history; unique=unspecified,console/migrations/m241010_110144_transfer.php:15
createIndex,transfer_candidate,idx-transfer_candidate-transfer_confirmation_id,,"['transfer_confirmation_id', ""bank_id"", 'deleted']",constraint history; unique=true,console/migrations/m241010_110144_transfer.php:17
createIndex,candidate_work_log_feedback,idx-candidate_work_log_feedback-candidate_working_hour_uuid,,'candidate_working_hour_uuid',constraint history; unique=unspecified,console/migrations/m241023_091738_timer.php:21
addForeignKey,candidate_work_log_feedback,fk-candidate_work_log_feedback-candidate_working_hour_uuid,candidate_working_hour,'candidate_working_hour_uuid' -> 'candidate_working_hour_uuid',unspecified,console/migrations/m241023_091738_timer.php:28
