kind,owner,name,target,keys,delete,source
createIndex,candidate,idx-candidate-company_id,,'company_id',constraint history; unique=unspecified,console/migrations/m130524_201442_init.php:74
addForeignKey,candidate,fk-candidate-company_id,company,'company_id' -> 'company_id',CASCADE,console/migrations/m130524_201442_init.php:80
createIndex,admin_token,idx-admin_token-admin_id,,'admin_id',constraint history; unique=unspecified,console/migrations/m170209_151757_create_token_tables.php:24
addForeignKey,admin_token,fk-admin_token-admin_id,admin,'admin_id' -> 'admin_id',CASCADE,console/migrations/m170209_151757_create_token_tables.php:30
createIndex,candidate_token,idx-candidate_token-candidate_id,,'candidate_id',constraint history; unique=unspecified,console/migrations/m170209_151757_create_token_tables.php:54
addForeignKey,candidate_token,fk-candidate_token-candidate_id,candidate,'candidate_id' -> 'candidate_id',CASCADE,console/migrations/m170209_151757_create_token_tables.php:60
createIndex,company_token,idx-company_token-company_id,,'company_id',constraint history; unique=unspecified,console/migrations/m170209_151757_create_token_tables.php:84
addForeignKey,company_token,fk-company_token-company_id,company,'company_id' -> 'company_id',CASCADE,console/migrations/m170209_151757_create_token_tables.php:90
createIndex,staff_token,idx-staff_token-staff_id,,'staff_id',constraint history; unique=unspecified,console/migrations/m170209_151757_create_token_tables.php:114
addForeignKey,staff_token,fk-staff_token-staff_id,staff,'staff_id' -> 'staff_id',CASCADE,console/migrations/m170209_151757_create_token_tables.php:120
createIndex,company,idx-company-parent_company_id,,'parent_company_id',constraint history; unique=unspecified,console/migrations/m170223_113047_parent_company.php:11
addForeignKey,company,fk-company-parent_company_id,company,'parent_company_id' -> 'company_id',CASCADE,console/migrations/m170223_113047_parent_company.php:17
createIndex,store,idx-store-company_id,,'company_id',constraint history; unique=unspecified,console/migrations/m170223_125009_store.php:24
addForeignKey,store,fk-store-company_id,company,'company_id' -> 'company_id',CASCADE,console/migrations/m170223_125009_store.php:30
createIndex,candidate,idx-candidate-store_id,,'store_id',constraint history; unique=unspecified,console/migrations/m170223_132254_candidate_to_store.php:11
addForeignKey,candidate,fk-candidate-store_id,store,'store_id' -> 'store_id',CASCADE,console/migrations/m170223_132254_candidate_to_store.php:17
dropForeignKey,candidate,fk-candidate-company_id,,,unspecified,console/migrations/m170227_113509_candidate_company.php:9
dropIndex,candidate,idx-candidate-company_id,,,constraint history; unique=unspecified,console/migrations/m170227_113509_candidate_company.php:14
createIndex,transfer,idx-transfer-company_id,,'company_id',constraint history; unique=unspecified,console/migrations/m170227_122635_company_transfer.php:17
addForeignKey,transfer,fk-transfer-company_id,company,'company_id' -> 'company_id',CASCADE,console/migrations/m170227_122635_company_transfer.php:23
createIndex,transfer_candidates,idx-tc-transfer_id,,'transfer_id',constraint history; unique=unspecified,console/migrations/m170227_122635_company_transfer.php:42
addForeignKey,transfer_candidates,fk-tc-transfer_id,transfer,'transfer_id' -> 'transfer_id',CASCADE,console/migrations/m170227_122635_company_transfer.php:48
createIndex,transfer_candidates,idx-tc-candidate_id,,'candidate_id',constraint history; unique=unspecified,console/migrations/m170227_122635_company_transfer.php:57
addForeignKey,transfer_candidates,fk-tc-candidate_id,candidate,'candidate_id' -> 'candidate_id',CASCADE,console/migrations/m170227_122635_company_transfer.php:63
createIndex,invoice,idx-invoice-company_id,,'company_id',constraint history; unique=unspecified,console/migrations/m170228_144703_company_invoice.php:18
addForeignKey,invoice,fk-invoice-company_id,company,'company_id' -> 'company_id',CASCADE,console/migrations/m170228_144703_company_invoice.php:24
createIndex,invoice_candidates,idx-ic-invoice_id,,'invoice_id',constraint history; unique=unspecified,console/migrations/m170228_144703_company_invoice.php:44
addForeignKey,invoice_candidates,fk-ic-invoice_id,invoice,'invoice_id' -> 'invoice_id',CASCADE,console/migrations/m170228_144703_company_invoice.php:50
createIndex,invoice_candidates,idx-ic-candidate_id,,'candidate_id',constraint history; unique=unspecified,console/migrations/m170228_144703_company_invoice.php:59
addForeignKey,invoice_candidates,fk-ic-candidate_id,candidate,'candidate_id' -> 'candidate_id',CASCADE,console/migrations/m170228_144703_company_invoice.php:65
createIndex,candidate,idx-candidate-bank_id,,'bank_id',constraint history; unique=unspecified,console/migrations/m170306_112515_candiate_bank.php:11
addForeignKey,candidate,fk-candidate-bank_id,bank,'bank_id' -> 'bank_id',CASCADE,console/migrations/m170306_112515_candiate_bank.php:17
createIndex,candidate,idx-candidate-university_id,,'university_id',constraint history; unique=unspecified,console/migrations/m170420_125428_candidate_university.php:12
addForeignKey,candidate,fk-candidate-university_id,university,'university_id' -> 'university_id',,console/migrations/m170420_125428_candidate_university.php:19
createIndex,candidate,idx-candidate-country_id,,'country_id',constraint history; unique=unspecified,console/migrations/m170425_134445_candidate_country.php:11
addForeignKey,candidate,fk-candidate-country_id,country,'country_id' -> 'country_id',,console/migrations/m170425_134445_candidate_country.php:17
createIndex,transfer,idx-transfer-transfer_id,,'transfer_id',constraint history; unique=unspecified,console/migrations/m170428_113508_invoice.php:17
addForeignKey,transfer,fk-transfer-parent_transfer_id,transfer,'parent_transfer_id' -> 'transfer_id',,console/migrations/m170428_113508_invoice.php:23
createIndex,invoice,idx-invoice-transfer_id,,'transfer_id',constraint history; unique=unspecified,console/migrations/m170428_113508_invoice.php:52
addForeignKey,invoice,fk-invoice-transfer_id,transfer,'transfer_id' -> 'transfer_id',,console/migrations/m170428_113508_invoice.php:58
dropIndex,company,company_email,,,constraint history; unique=unspecified,console/migrations/m170502_133510_company_email.php:9
createIndex,candidate_id_card,idx-candidate_id_card-candidate_id,,'candidate_id',constraint history; unique=unspecified,console/migrations/m170502_143647_candidate_ID.php:24
addForeignKey,candidate_id_card,fk-candidate_id_card-candidate_id,candidate,'candidate_id' -> 'candidate_id',,console/migrations/m170502_143647_candidate_ID.php:30
createIndex,transfer_candidate,idx-transfer_candidate-store_id,,'store_id',constraint history; unique=unspecified,console/migrations/m170622_120801_transfer_candidate.php:15
addForeignKey,transfer_candidate,fk-transfer_candidate-store_id,store,'store_id' -> 'store_id',,console/migrations/m170622_120801_transfer_candidate.php:21
createIndex,transfer_candidate,idx-transfer_candidate-company_id,,'company_id',constraint history; unique=unspecified,console/migrations/m170622_120801_transfer_candidate.php:30
addForeignKey,transfer_candidate,fk-transfer_candidate-company_id,company,'company_id' -> 'company_id',,console/migrations/m170622_120801_transfer_candidate.php:36
createIndex,transfer_candidate,idx-transfer_candidate-bank_id,,'bank_id',constraint history; unique=unspecified,console/migrations/m200721_082533_candidate_bank.php:39
addForeignKey,transfer_candidate,fk-transfer_candidate-bank_id,bank,'bank_id' -> 'bank_id',unspecified,console/migrations/m200721_082533_candidate_bank.php:40
addPrimaryKey,candidate_email_verify_attempt,PK,,'ceva_uuid',constraint history; unique=unspecified,console/migrations/m200724_100421_email_verification.php:29
addForeignKey,candidate_skill,fk-candidate_skill-candidate_id,candidate,'candidate_id' -> 'candidate_id',CASCADE,console/migrations/m200729_094528_candidate_fields.php:37
addForeignKey,candidate_experience,fk-candidate_experience-candidate_id,candidate,'candidate_id' -> 'candidate_id',CASCADE,console/migrations/m200729_094528_candidate_fields.php:55
createIndex,file,idx-file-company_id,,'company_id',constraint history; unique=unspecified,console/migrations/m200806_102214_file_tbl.php:34
addForeignKey,file,fk-file-company_id,company,'company_id' -> 'company_id',CASCADE,console/migrations/m200806_102214_file_tbl.php:40
addPrimaryKey,file,PK,,'file_uuid',constraint history; unique=unspecified,console/migrations/m200807_085807_file_primary_key.php:15
createIndex,transfer_candidate,idx-transfer_candidate-transfer_file_id,,'transfer_file_id',constraint history; unique=unspecified,console/migrations/m200810_100835_transfer_file.php:35
addForeignKey,transfer_candidate,fk-transfer_candidate-CASCADE,transfer_file,'transfer_file_id' -> 'transfer_file_id',CASCADE,console/migrations/m200810_100835_transfer_file.php:42
addPrimaryKey,brand,PK,,'brand_uuid',constraint history; unique=unspecified,console/migrations/m200818_104012_brand.php:31
createIndex,brand,idx-brand-company_id,,'company_id',constraint history; unique=unspecified,console/migrations/m200818_104012_brand.php:34
addForeignKey,brand,fk-brand-CASCADE,company,'company_id' -> 'company_id',CASCADE,console/migrations/m200818_104012_brand.php:41
addPrimaryKey,company_contact,PK,,'contact_uuid',constraint history; unique=unspecified,console/migrations/m200820_144521_new_tabl.php:33
createIndex,company_contact,idx-company_contact-company_id,,'company_id',constraint history; unique=unspecified,console/migrations/m200820_144521_new_tabl.php:36
addForeignKey,company_contact,fk-company_contact-CASCADE,company,'company_id' -> 'company_id',CASCADE,console/migrations/m200820_144521_new_tabl.php:43
addPrimaryKey,company_contact_email,PK,,'email_uuid',constraint history; unique=unspecified,console/migrations/m200820_144521_new_tabl.php:62
createIndex,company_contact_email,idx-company_contact_email-contact_uuid,,'contact_uuid',constraint history; unique=unspecified,console/migrations/m200820_144521_new_tabl.php:65
addForeignKey,company_contact_email,fk-company_contact_email-CASCADE,company_contact,'contact_uuid' -> 'contact_uuid',CASCADE,console/migrations/m200820_144521_new_tabl.php:72
addPrimaryKey,company_contact_phone,PK,,'phone_uuid',constraint history; unique=unspecified,console/migrations/m200820_144521_new_tabl.php:91
createIndex,company_contact_phone,idx-company_contact_phone-contact_uuid,,'contact_uuid',constraint history; unique=unspecified,console/migrations/m200820_144521_new_tabl.php:94
addForeignKey,company_contact_phone,fk-company_contact_phone-CASCADE,company_contact,'contact_uuid' -> 'contact_uuid',CASCADE,console/migrations/m200820_144521_new_tabl.php:101
addPrimaryKey,note,PK,,'note_uuid',constraint history; unique=unspecified,console/migrations/m200821_134549_note_table.php:31
createIndex,note,idx-note-contact_uuid,,'contact_uuid',constraint history; unique=unspecified,console/migrations/m200821_134549_note_table.php:33
addForeignKey,note,fk-note-contact_uuid,company_contact,'contact_uuid' -> 'contact_uuid',unspecified,console/migrations/m200821_134549_note_table.php:39
createIndex,note,idx-note-company_id,,'company_id',constraint history; unique=unspecified,console/migrations/m200821_134549_note_table.php:48
addForeignKey,note,fk-note-company_id,company,'company_id' -> 'company_id',CASCADE,console/migrations/m200821_134549_note_table.php:55
createIndex,note,idx-note-staff_id,,'staff_id',constraint history; unique=unspecified,console/migrations/m200821_134549_note_table.php:65
addForeignKey,note,fk-note-staff_id,staff,'staff_id' -> 'staff_id',CASCADE,console/migrations/m200821_134549_note_table.php:72
addPrimaryKey,request,PK,,'request_uuid',constraint history; unique=unspecified,console/migrations/m200825_145436_request.php:36
createIndex,request,idx-request-company_id,,'company_id',constraint history; unique=unspecified,console/migrations/m200825_145436_request.php:39
addForeignKey,request,fk-request-company_id,company,'company_id' -> 'company_id',CASCADE,console/migrations/m200825_145436_request.php:46
createIndex,request,idx-request-contact_uuid,,'contact_uuid',constraint history; unique=unspecified,console/migrations/m200825_145436_request.php:56
addForeignKey,request,fk-request-contact_uuid,company_contact,'contact_uuid' -> 'contact_uuid',CASCADE,console/migrations/m200825_145436_request.php:63
createIndex,request,idx-request-request_created_by,,'request_created_by',constraint history; unique=unspecified,console/migrations/m200825_145436_request.php:73
addForeignKey,request,fk-request-request_created_by,staff,'request_created_by' -> 'staff_id',CASCADE,console/migrations/m200825_145436_request.php:80
createIndex,request,idx-request-request_updated_by,,'request_updated_by',constraint history; unique=unspecified,console/migrations/m200825_145436_request.php:90
addForeignKey,request,fk-request-request_updated_by,staff,'request_updated_by' -> 'staff_id',CASCADE,console/migrations/m200825_145436_request.php:97
addPrimaryKey,inspector,PK,,'inspector_uuid',constraint history; unique=unspecified,console/migrations/m200904_075357_inspector_type_user.php:34
addPrimaryKey,inspector_token,PK,,'token_uuid',constraint history; unique=unspecified,console/migrations/m200904_075357_inspector_type_user.php:48
createIndex,inspector_token,idx-inspector_token-inspector_uuid,,'inspector_uuid',constraint history; unique=unspecified,console/migrations/m200904_075357_inspector_type_user.php:51
addForeignKey,inspector_token,fk-inspector_token-inspector_uuid,inspector,'inspector_uuid' -> 'inspector_uuid',CASCADE,console/migrations/m200904_075357_inspector_type_user.php:57
createIndex,store,idx-store-brand_uuid,,'brand_uuid',constraint history; unique=unspecified,console/migrations/m200909_110549_alter_store_table_for_brand.php:20
addForeignKey,store,fk-store-brand_uuid,brand,'brand_uuid' -> 'brand_uuid',CASCADE,console/migrations/m200909_110549_alter_store_table_for_brand.php:26
addPrimaryKey,mall,PK,,'mall_uuid',constraint history; unique=unspecified,console/migrations/m200911_052307_mall_table.php:29
createIndex,store,idx-store-mall_uuid,,'mall_uuid',constraint history; unique=unspecified,console/migrations/m200911_052307_mall_table.php:35
addForeignKey,store,fk-store-mall_uuid,mall,'mall_uuid' -> 'mall_uuid',CASCADE,console/migrations/m200911_052307_mall_table.php:41
addPrimaryKey,area,PK,,'area_uuid',constraint history; unique=unspecified,console/migrations/m200922_070412_candidate_location.php:31
createIndex,candidate,idx-candidate-candidate_area_uuid,,'candidate_area_uuid',constraint history; unique=unspecified,console/migrations/m200922_070412_candidate_location.php:37
addForeignKey,candidate,fk-candidate-candidate_area_uuid,area,'candidate_area_uuid' -> 'area_uuid',unspecified,console/migrations/m200922_070412_candidate_location.php:43
createIndex,area,idx-area-country_id,,'country_id',constraint history; unique=unspecified,console/migrations/m200925_134404_area_country.php:21
addForeignKey,area,fk-area-country_id,country,'country_id' -> 'country_id',unspecified,console/migrations/m200925_134404_area_country.php:27
createIndex,store,idx-store-store_manager_uuid,,'store_manager_uuid',constraint history; unique=unspecified,console/migrations/m201005_135449_store_manager.php:17
addForeignKey,store,fk-store-store_manager_uuid,company_contact,'store_manager_uuid' -> 'contact_uuid',unspecified,console/migrations/m201005_135449_store_manager.php:23
addPrimaryKey,request_activity,PK,,'activity_uuid',constraint history; unique=unspecified,console/migrations/m201023_094550_request_activities.php:31
createIndex,request_activity,idx-request_activity-staff_id,,'staff_id',constraint history; unique=unspecified,console/migrations/m201023_094550_request_activities.php:34
addForeignKey,request_activity,fk-request_activity-staff_id,staff,'staff_id' -> 'staff_id',unspecified,console/migrations/m201023_094550_request_activities.php:40
createIndex,request_activity,idx-request_activity-request_uuid,,'request_uuid',constraint history; unique=unspecified,console/migrations/m201023_094550_request_activities.php:49
addForeignKey,request_activity,fk-request_activity-request_uuid,request,'request_uuid' -> 'request_uuid',unspecified,console/migrations/m201023_094550_request_activities.php:55
createIndex,request,idx-request-staff_id,,'staff_id',constraint history; unique=unspecified,console/migrations/m201026_105629_request_staff.php:17
addForeignKey,request,fk-request-staff_id,staff,'staff_id' -> 'staff_id',unspecified,console/migrations/m201026_105629_request_staff.php:23
addPrimaryKey,candidate_note,PK,,'candidate_note_uuid',constraint history; unique=unspecified,console/migrations/m201105_063544_candidate_notes.php:30
createIndex,candidate_note,idx-candidate_note-candidate_id,,'candidate_id',constraint history; unique=unspecified,console/migrations/m201105_063544_candidate_notes.php:33
addForeignKey,candidate_note,fk-candidate_note-candidate_id,candidate,'candidate_id' -> 'candidate_id',unspecified,console/migrations/m201105_063544_candidate_notes.php:40
createIndex,candidate_note,idx-candidate_note-staff_id,,'staff_id',constraint history; unique=unspecified,console/migrations/m201105_063544_candidate_notes.php:49
addForeignKey,candidate_note,fk-candidate_note-staff_id,staff,'staff_id' -> 'staff_id',unspecified,console/migrations/m201105_063544_candidate_notes.php:56
addPrimaryKey,candidate_video_log,PK,,'video_log_uuid',constraint history; unique=unspecified,console/migrations/m201105_122925_video_log.php:28
createIndex,candidate_video_log,idx-candidate_video_log-candidate_id,,'candidate_id',constraint history; unique=unspecified,console/migrations/m201105_122925_video_log.php:31
addForeignKey,candidate_video_log,fk-candidate_video_log-candidate_id,candidate,'candidate_id' -> 'candidate_id',unspecified,console/migrations/m201105_122925_video_log.php:38
createIndex,candidate_note,idx-candidate_note-created_by,,'created_by',constraint history; unique=unspecified,console/migrations/m201106_060223_update_note_table.php:22
createIndex,candidate_note,idx-candidate_note-updated_by,,'updated_by',constraint history; unique=unspecified,console/migrations/m201106_060223_update_note_table.php:29
addForeignKey,candidate_note,fk-candidate_note-created_by,staff,'created_by' -> 'staff_id',unspecified,console/migrations/m201106_060223_update_note_table.php:36
addForeignKey,candidate_note,fk-candidate_note-updated_by,staff,'updated_by' -> 'staff_id',unspecified,console/migrations/m201106_060223_update_note_table.php:46
dropForeignKey,candidate_note,fk-candidate_note-staff_id,,,unspecified,console/migrations/m201106_060223_update_note_table.php:55
createIndex,note,idx-note-created_by,,'created_by',constraint history; unique=unspecified,console/migrations/m201106_060223_update_note_table.php:66
createIndex,note,idx-note-updated_by,,'updated_by',constraint history; unique=unspecified,console/migrations/m201106_060223_update_note_table.php:73
addForeignKey,note,fk-note-created_by,staff,'created_by' -> 'staff_id',unspecified,console/migrations/m201106_060223_update_note_table.php:80
addForeignKey,note,fk-note-updated_by,staff,'updated_by' -> 'staff_id',unspecified,console/migrations/m201106_060223_update_note_table.php:90
dropForeignKey,note,fk-note-staff_id,,,unspecified,console/migrations/m201106_060223_update_note_table.php:99
dropIndex,candidate,candidate_email,,,constraint history; unique=unspecified,console/migrations/m201118_053835_remove_email_constrain.php:16
createIndex,note,idx-note-candidate_id,,'candidate_id',constraint history; unique=unspecified,console/migrations/m201125_141940_note.php:27
addForeignKey,note,fk-note-candidate_id,candidate,'candidate_id' -> 'candidate_id',unspecified,console/migrations/m201125_141940_note.php:33
createIndex,note,idx-note-request_uuid,,'request_uuid',constraint history; unique=unspecified,console/migrations/m201125_141940_note.php:51
addForeignKey,note,fk-note-request_uuid,request,'request_uuid' -> 'request_uuid',unspecified,console/migrations/m201125_141940_note.php:57
addPrimaryKey,fulltimer,PK,,'fulltimer_uuid',constraint history; unique=unspecified,console/migrations/m201127_092741_fulltime.php:38
createIndex,fulltimer,idx-fulltimer-country_id,,'country_id',constraint history; unique=unspecified,console/migrations/m201127_092741_fulltime.php:41
addForeignKey,fulltimer,fk-fulltimer-country_id,country,'country_id' -> 'country_id',unspecified,console/migrations/m201127_092741_fulltime.php:48
createIndex,fulltimer,idx-fulltimer-fulltimer_area_uuid,,'fulltimer_area_uuid',constraint history; unique=unspecified,console/migrations/m201127_092741_fulltime.php:57
addForeignKey,fulltimer,fk-fulltimer-fulltimer_area_uuid,area,'fulltimer_area_uuid' -> 'area_uuid',unspecified,console/migrations/m201127_092741_fulltime.php:64
createIndex,fulltimer,idx-fulltimer-nationality_id,,'nationality_id',constraint history; unique=unspecified,console/migrations/m201127_092741_fulltime.php:73
addForeignKey,fulltimer,fk-fulltimer-nationality_id,country,'nationality_id' -> 'country_id',CASCADE,console/migrations/m201127_092741_fulltime.php:80
createIndex,fulltimer_tags,idx-fulltimer_tags-fulltimer_uuid,,'fulltimer_uuid',constraint history; unique=unspecified,console/migrations/m201127_092741_fulltime.php:96
addForeignKey,fulltimer_tags,fk-fulltimer_tags-fulltimer_uuid,fulltimer,'fulltimer_uuid' -> 'fulltimer_uuid',unspecified,console/migrations/m201127_092741_fulltime.php:103
createIndex,note,idx-note-contact_uuid,,'contact_uuid',constraint history; unique=unspecified,console/migrations/m201201_065229_add_fulltimer_in_note.php:25
addForeignKey,note,fk-note-contact_uuid,company_contact,'contact_uuid' -> 'contact_uuid',unspecified,console/migrations/m201201_065229_add_fulltimer_in_note.php:31
createIndex,note,idx-note-fulltimer_uuid,,'fulltimer_uuid',constraint history; unique=unspecified,console/migrations/m201201_065229_add_fulltimer_in_note.php:42
addForeignKey,note,fk-note-fulltimer_uuid,fulltimer,'fulltimer_uuid' -> 'fulltimer_uuid',unspecified,console/migrations/m201201_065229_add_fulltimer_in_note.php:48
addPrimaryKey,suggestion,PK,,'suggestion_uuid',constraint history; unique=unspecified,console/migrations/m201201_120803_suggesstionn.php:31
createIndex,suggestion,idx-suggestion-request_uuid,,'request_uuid',constraint history; unique=unspecified,console/migrations/m201201_120803_suggesstionn.php:34
addForeignKey,suggestion,fk-suggestion-request_uuid,request,'request_uuid' -> 'request_uuid',unspecified,console/migrations/m201201_120803_suggesstionn.php:41
createIndex,suggestion,idx-suggestion-fulltimer_uuid,,'fulltimer_uuid',constraint history; unique=unspecified,console/migrations/m201201_120803_suggesstionn.php:50
addForeignKey,suggestion,fk-suggestion-fulltimer_uuid,fulltimer,'fulltimer_uuid' -> 'fulltimer_uuid',unspecified,console/migrations/m201201_120803_suggesstionn.php:57
createIndex,suggestion,idx-suggestion-candidate_id,,'candidate_id',constraint history; unique=unspecified,console/migrations/m201201_120803_suggesstionn.php:67
addForeignKey,suggestion,fk-suggestion-candidate_id,candidate,'candidate_id' -> 'candidate_id',unspecified,console/migrations/m201201_120803_suggesstionn.php:74
createIndex,suggestion,idx-suggestion-note_uuid,,'note_uuid',constraint history; unique=unspecified,console/migrations/m201201_120803_suggesstionn.php:83
addForeignKey,suggestion,fk-suggestion-note_uuid,note,'note_uuid' -> 'note_uuid',unspecified,console/migrations/m201201_120803_suggesstionn.php:90
createIndex,candidate_work_history,idx-candidate_work_history-company_id,,'company_id',constraint history; unique=unspecified,console/migrations/m201208_080317_work_history_table.php:18
addForeignKey,candidate_work_history,fk-candidate_work_history-company_id,company,'company_id' -> 'company_id',unspecified,console/migrations/m201208_080317_work_history_table.php:24
createIndex,candidate_work_history,idx-candidate_work_history-parent_company_id,,'parent_company_id',constraint history; unique=unspecified,console/migrations/m201208_080317_work_history_table.php:33
addForeignKey,candidate_work_history,fk-candidate_work_history-parent_company_id,company,'parent_company_id' -> 'company_id',unspecified,console/migrations/m201208_080317_work_history_table.php:39
createIndex,note,idx-note-suggestion_uuid,,'suggestion_uuid',constraint history; unique=unspecified,console/migrations/m201210_144631_suggestion_feedback.php:18
addForeignKey,note,fk-note-suggestion_uuid,suggestion,'suggestion_uuid' -> 'suggestion_uuid',unspecified,console/migrations/m201210_144631_suggestion_feedback.php:25
createIndex,transfer,idx-transfer-transfer_created_by,,'transfer_created_by',constraint history; unique=unspecified,console/migrations/m201214_110450_transfer_staff.php:20
addForeignKey,transfer,fk-transfer-transfer_created_by,staff,'transfer_created_by' -> 'staff_id',unspecified,console/migrations/m201214_110450_transfer_staff.php:27
createIndex,transfer,idx-transfer-transfer_updated_by,,'transfer_updated_by',constraint history; unique=unspecified,console/migrations/m201214_110450_transfer_staff.php:36
addForeignKey,transfer,fk-transfer-transfer_updated_by,staff,'transfer_updated_by' -> 'staff_id',unspecified,console/migrations/m201214_110450_transfer_staff.php:43
dropForeignKey,request,fk-request-staff_id,,,unspecified,console/migrations/m201224_094026_request_staff.php:15
dropIndex,request,idx-request-staff_id,,,constraint history; unique=unspecified,console/migrations/m201224_094026_request_staff.php:17
dropIndex,candidate,candidate_civil_id,,,constraint history; unique=unspecified,console/migrations/m201231_105431_fix_unique_key.php:17
dropIndex,candidate,candidate_civil_id_2,,,constraint history; unique=unspecified,console/migrations/m201231_105431_fix_unique_key.php:18
dropIndex,candidate,candidate_password_reset_token,,,constraint history; unique=unspecified,console/migrations/m201231_105431_fix_unique_key.php:19
createIndex,candidate,idx-candidate-candidate_civil_id,,"['candidate_civil_id', 'deleted']",constraint history; unique=true,console/migrations/m201231_105431_fix_unique_key.php:21
createIndex,candidate,idx-candidate-candidate_password_reset_token,,"['candidate_password_reset_token', 'deleted']",constraint history; unique=true,console/migrations/m201231_105431_fix_unique_key.php:23
dropIndex,company,company_password_reset_token,,,constraint history; unique=unspecified,console/migrations/m201231_105431_fix_unique_key.php:27
createIndex,company,idx-company-company_password_reset_token,,"['company_password_reset_token', 'deleted']",constraint history; unique=true,console/migrations/m201231_105431_fix_unique_key.php:29
dropIndex,inspector,inspector_password_reset_token,,,constraint history; unique=unspecified,console/migrations/m201231_105431_fix_unique_key.php:33
dropIndex,inspector,inspector_email,,,constraint history; unique=unspecified,console/migrations/m201231_105431_fix_unique_key.php:34
createIndex,inspector,idx-inspector-inspector_password_reset_token,,"['inspector_password_reset_token', 'inspector_deleted']",constraint history; unique=true,console/migrations/m201231_105431_fix_unique_key.php:36
createIndex,inspector,idx-inspector-inspector_email,,"['inspector_email', 'inspector_deleted']",constraint history; unique=true,console/migrations/m201231_105431_fix_unique_key.php:37
dropIndex,staff,staff_email,,,constraint history; unique=unspecified,console/migrations/m201231_105431_fix_unique_key.php:41
dropIndex,staff,staff_password_reset_token,,,constraint history; unique=unspecified,console/migrations/m201231_105431_fix_unique_key.php:42
createIndex,staff,idx-staff-staff_email,,"['staff_email', 'deleted']",constraint history; unique=true,console/migrations/m201231_105431_fix_unique_key.php:44
createIndex,staff,idx-staff-staff_password_reset_token,,"['staff_password_reset_token', 'deleted']",constraint history; unique=true,console/migrations/m201231_105431_fix_unique_key.php:45
dropIndex,transfer_candidate,transfer_confirmation_id,,,constraint history; unique=unspecified,console/migrations/m201231_105431_fix_unique_key.php:49
createIndex,transfer_candidate,idx-transfer_candidate-transfer_confirmation_id,,"['transfer_confirmation_id', 'deleted']",constraint history; unique=true,console/migrations/m201231_105431_fix_unique_key.php:51
dropForeignKey,contact,fk-company_contact-CASCADE,,,unspecified,console/migrations/m210108_092910_rename_company_contact_to_contact.php:45
dropForeignKey,company_contact_phone,fk-company_contact_phone-CASCADE,,,unspecified,console/migrations/m210108_092910_rename_company_contact_to_contact.php:52
dropForeignKey,company_contact_email,fk-company_contact_email-CASCADE,,,unspecified,console/migrations/m210108_092910_rename_company_contact_to_contact.php:60
createIndex,contact,idx-contact-company_id,,'company_id',constraint history; unique=unspecified,console/migrations/m210108_092910_rename_company_contact_to_contact.php:69
addForeignKey,contact,fk-contact-CASCADE,company,'company_id' -> 'company_id',CASCADE,console/migrations/m210108_092910_rename_company_contact_to_contact.php:76
addForeignKey,company_contact_phone,fk-company_contact_phone-CASCADE,contact,'contact_uuid' -> 'contact_uuid',CASCADE,console/migrations/m210108_092910_rename_company_contact_to_contact.php:93
addForeignKey,company_contact_email,fk-company_contact_email-CASCADE,contact,'contact_uuid' -> 'contact_uuid',CASCADE,console/migrations/m210108_092910_rename_company_contact_to_contact.php:108
addPrimaryKey,company_contact,PK,,'company_contact_uuid',constraint history; unique=unspecified,console/migrations/m210108_111710_company_contact_tbl.php:32
createIndex,company_contact,idx-company_contact-company_id,,'company_id',constraint history; unique=unspecified,console/migrations/m210108_111710_company_contact_tbl.php:35
addForeignKey,company_contact,fk-company_contact-company_id,company,'company_id' -> 'company_id',CASCADE,console/migrations/m210108_111710_company_contact_tbl.php:42
createIndex,company_contact,idx-company_contact-contact_uuid,,'contact_uuid',constraint history; unique=unspecified,console/migrations/m210108_111710_company_contact_tbl.php:52
addForeignKey,company_contact,fk-company_contact-contact_uuid,contact,'contact_uuid' -> 'contact_uuid',CASCADE,console/migrations/m210108_111710_company_contact_tbl.php:59
dropIndex,company,idx-company-company_password_reset_token,,,constraint history; unique=unspecified,console/migrations/m210108_131700_contact_table_rename.php:19
dropForeignKey,contact,fk-contact-CASCADE,,,unspecified,console/migrations/m210108_131700_contact_table_rename.php:30
dropIndex,contact,idx-company_contact-company_id,,,constraint history; unique=unspecified,console/migrations/m210108_131700_contact_table_rename.php:35
dropForeignKey,contact,fk-company_contact-CASCADE,,,unspecified,console/migrations/m210108_131700_contact_table_rename.php:46
dropForeignKey,contact,fk-contact-company_id,,,unspecified,console/migrations/m210108_131700_contact_table_rename.php:53
createIndex,contact_token,idx-contact_token-contact_uuid,,'contact_uuid',constraint history; unique=unspecified,console/migrations/m210111_064411_contact_token_tbl.php:36
addForeignKey,contact_token,fk-contact_token-contact_uuid,contact,'contact_uuid' -> 'contact_uuid',unspecified,console/migrations/m210111_064411_contact_token_tbl.php:43
dropForeignKey,request,fk-request-request_created_by,,,unspecified,console/migrations/m210114_074728_remove_request_forign_key_frm_staff_tbl.php:17
dropForeignKey,request,fk-request-request_updated_by,,,unspecified,console/migrations/m210114_074728_remove_request_forign_key_frm_staff_tbl.php:18
dropForeignKey,note,fk-note-created_by,,,unspecified,console/migrations/m210114_074728_remove_request_forign_key_frm_staff_tbl.php:22
